cnn,monthly_frequency,frequency_group
959000,8,7-8
960000,8,7-8
961000,4,4
962000,8,7-8
963000,8,7-8
964000,8,7-8
965000,8,7-8
966000,8,7-8
967000,8,7-8
968000,12,9-12
969000,20,17-20
970000,20,17-20
971000,20,17-20
972000,20,17-20
973000,20,17-20
974000,20,17-20
975000,8,7-8
976000,8,7-8
977000,8,7-8
978000,8,7-8
979000,8,7-8
981000,8,7-8
982000,8,7-8
983000,8,7-8
984000,8,7-8
985000,8,7-8
986000,8,7-8
987000,8,7-8
988000,8,7-8
989000,8,7-8
990000,8,7-8
991000,8,7-8
992000,8,7-8
993000,8,7-8
994000,8,7-8
995000,8,7-8
997000,2,2
998000,4,4
999000,4,4
1000000,4,4
1001000,4,4
1002000,4,4
1003000,4,4
1004000,4,4
1005000,6,6
1006000,6,6
1007000,6,6
1008000,6,6
1009000,6,6
1010000,6,6
1011000,6,6
1012000,6,6
1013000,4,4
1014000,4,4
1015000,4,4
1016000,4,4
1017000,4,4
1018000,4,4
1019000,4,4
1020000,4,4
1021000,4,4
1026000,8,7-8
1027000,8,7-8
1028000,4,4
1029000,4,4
1030000,4,4
1031000,8,7-8
1032000,8,7-8
1033000,8,7-8
1034000,8,7-8
1035000,8,7-8
1036000,8,7-8
1037000,8,7-8
1038000,8,7-8
1039000,8,7-8
1040000,8,7-8
1041000,8,7-8
1042000,8,7-8
1044000,8,7-8
1045000,8,7-8
1046000,8,7-8
1047000,8,7-8
1048000,8,7-8
1049000,8,7-8
1050000,8,7-8
1051000,8,7-8
1052000,20,17-20
1053000,20,17-20
1054000,20,17-20
1055000,20,17-20
1056000,20,17-20
1057000,20,17-20
1058000,20,17-20
1059000,8,7-8
1060000,8,7-8
1061000,8,7-8
1062000,8,7-8
1064000,8,7-8
1065000,8,7-8
1066000,8,7-8
1067000,8,7-8
1068000,8,7-8
1069000,8,7-8
1070000,8,7-8
1071000,2,2
1072000,4,4
1073000,4,4
1074000,4,4
1075000,4,4
1076000,4,4
1077000,4,4
1078000,4,4
1079000,6,6
1080000,6,6
1081000,6,6
1082000,6,6
1083000,6,6
1084000,6,6
1085000,6,6
1086000,6,6
1087000,4,4
1088000,4,4
1089000,4,4
1090000,4,4
1091000,4,4
1092000,4,4
1093000,4,4
1094000,4,4
1095000,4,4
1097000,8,7-8
1098000,8,7-8
1099000,8,7-8
1100000,8,7-8
1101000,8,7-8
1102000,8,7-8
1103000,8,7-8
1104000,8,7-8
1105000,8,7-8
1106000,8,7-8
1107000,20,17-20
1108000,20,17-20
1109000,20,17-20
1110000,20,17-20
1111000,20,17-20
1112000,20,17-20
1113000,6,6
1114000,4,4
1115000,4,4
1116000,4,4
1117000,4,4
1118000,4,4
1119000,4,4
1120000,4,4
1121000,4,4
1122000,4,4
1123000,4,4
1124000,2,2
1125000,4,4
1126000,4,4
1127000,4,4
1128000,4,4
1129000,4,4
1130000,2,2
1131000,4,4
1132000,4,4
1133000,4,4
1134000,4,4
1135000,4,4
1136000,4,4
1137000,4,4
1138000,4,4
1139000,6,6
1140000,6,6
1141000,6,6
1142000,6,6
1143000,6,6
1144000,6,6
1145000,6,6
1146000,8,7-8
1147000,6,6
1148000,8,7-8
1149000,8,7-8
1150000,4,4
1151000,4,4
1152000,4,4
1153000,4,4
1154000,4,4
1155000,4,4
1158000,8,7-8
1159000,8,7-8
1160000,8,7-8
1161000,8,7-8
1162000,8,7-8
1163000,8,7-8
1164000,8,7-8
1165000,8,7-8
1169000,8,7-8
1170000,8,7-8
1171000,8,7-8
1172000,8,7-8
1173000,4,4
1176000,8,7-8
1177000,8,7-8
1178000,8,7-8
1179000,8,7-8
1180000,8,7-8
1181000,8,7-8
1182000,8,7-8
1183000,8,7-8
1184000,8,7-8
1185000,8,7-8
1186000,8,7-8
1187000,8,7-8
1188000,8,7-8
1189000,20,17-20
1190000,20,17-20
1191000,20,17-20
1192000,20,17-20
1193000,6,6
1194000,6,6
1195000,4,4
1196000,4,4
1197000,4,4
1198000,4,4
1199000,4,4
1200000,4,4
1201000,2,2
1202000,4,4
1203000,4,4
1204000,4,4
1205000,4,4
1207000,4,4
1208000,4,4
1209000,4,4
1210000,4,4
1211000,4,4
1212000,5,5
1213000,4,4
1214000,4,4
1215000,4,4
1216000,4,4
1217000,4,4
1218000,6,6
1219000,6,6
1220000,6,6
1221000,6,6
1222000,6,6
1223000,6,6
1224000,6,6
1225000,6,6
1226000,4,4
1227000,4,4
1228000,4,4
1229000,4,4
1230000,4,4
1231000,4,4
1233000,8,7-8
1234000,8,7-8
1235000,8,7-8
1236000,8,7-8
1237000,8,7-8
1238000,8,7-8
1240000,4,4
1241000,4,4
1242000,8,7-8
1244000,4,4
1245000,8,7-8
1246000,8,7-8
1247000,8,7-8
1248000,20,17-20
1249000,20,17-20
1250000,20,17-20
1251000,20,17-20
1252000,20,17-20
