cnn,corridor,limits,monthly_frequency,frequency_group,days_cleaned,time_ranges,schedule_summary,block_sides,street_sides,heatmap_cells,holidays
12080000,Stanyan St,Golden Gate Ave  -  Paramount Ter,32,31-40,"Fri, Thu","6 AM - 8 AM, 8 AM - 10 AM","Fri 8 AM - 10 AM, Thu 6 AM - 8 AM","East, West","L, R","Fri|8-10, Thu|6-8",0
12081000,Stanyan St,Paramount Ter  -  McAllister St,32,31-40,"Fri, Thu","6 AM - 8 AM, 8 AM - 10 AM","Fri 8 AM - 10 AM, Thu 6 AM - 8 AM","East, West","L, R","Fri|8-10, Thu|6-8",0
12082000,Stanyan St,McAllister St  -  McAllister St,28,21-30,"Thu, Wed",6 AM - 8 AM,"Thu 6 AM - 8 AM, Wed 6 AM - 8 AM","East, West","L, R","Thu|6-8, Wed|6-8",0
12083000,Stanyan St,McAllister St  -  Fulton St,28,21-30,"Thu, Wed",6 AM - 8 AM,"Thu 6 AM - 8 AM, Wed 6 AM - 8 AM","East, West","L, R","Thu|6-8, Wed|6-8",0
12084000,Stanyan St,Fulton St  -  Hayes St,28,21-30,"Thu, Wed",6 AM - 8 AM,"Thu 6 AM - 8 AM, Wed 6 AM - 8 AM","East, West","L, R","Thu|6-8, Wed|6-8",0
12085000,Stanyan St,Hayes St  -  Fell St,28,21-30,"Thu, Wed",6 AM - 8 AM,"Thu 6 AM - 8 AM, Wed 6 AM - 8 AM","East, West","L, R","Thu|6-8, Wed|6-8",0
12086000,Stanyan St,Fell St  -  Ggp Access Road,28,21-30,"Thu, Wed",6 AM - 8 AM,"Thu 6 AM - 8 AM, Wed 6 AM - 8 AM","East, West","L, R","Thu|6-8, Wed|6-8",0
12087000,Stanyan St,Ggp Access Road  -  Fell St,28,21-30,"Thu, Wed",6 AM - 8 AM,"Thu 6 AM - 8 AM, Wed 6 AM - 8 AM","East, West","L, R","Thu|6-8, Wed|6-8",0
12088000,Stanyan St,Fell St  -  Oak St,28,21-30,"Thu, Wed",6 AM - 8 AM,"Thu 6 AM - 8 AM, Wed 6 AM - 8 AM","East, West","L, R","Thu|6-8, Wed|6-8",0
12089000,Stanyan St,Oak St  -  Page St,28,21-30,"Mon, Wed",6 AM - 8 AM,"Mon 6 AM - 8 AM, Wed 6 AM - 8 AM","East, West","L, R","Mon|6-8, Wed|6-8",0
1209000,22nd St,Douglass St  -  Worth St,52,51-60,"Mon, Wed",12 PM - 2 PM,"Mon 12 PM - 2 PM, Wed 12 PM - 2 PM","North, South","L, R","Mon|12-14, Wed|12-14",0
12090000,Stanyan St,Page St  -  Haight St,28,21-30,"Mon, Wed",6 AM - 8 AM,"Mon 6 AM - 8 AM, Wed 6 AM - 8 AM","East, West","L, R","Mon|6-8, Wed|6-8",0
12091000,Stanyan St,Haight St  -  Waller St,28,21-30,"Mon, Wed",6 AM - 8 AM,"Mon 6 AM - 8 AM, Wed 6 AM - 8 AM","East, West","L, R","Mon|6-8, Wed|6-8",0
12092000,Stanyan St,Waller St  -  Beulah St,28,21-30,"Mon, Wed",6 AM - 8 AM,"Mon 6 AM - 8 AM, Wed 6 AM - 8 AM","East, West","L, R","Mon|6-8, Wed|6-8",0
12093000,Stanyan St,Beulah St  -  Frederick St,28,21-30,"Mon, Wed",6 AM - 8 AM,"Mon 6 AM - 8 AM, Wed 6 AM - 8 AM","East, West","L, R","Mon|6-8, Wed|6-8",0
12094000,Stanyan St,Frederick St  -  Carl St,34,31-40,"Fri, Mon","7 AM - 9 AM, 8 AM - 10 AM","Fri 7 AM - 9 AM, Mon 8 AM - 10 AM","East, West","L, R","Fri|6-8, Mon|8-10",0
12095000,Stanyan St,Carl St  -  Parnassus Ave,34,31-40,"Fri, Mon","7 AM - 9 AM, 8 AM - 10 AM","Fri 7 AM - 9 AM, Mon 8 AM - 10 AM","East, West","L, R","Fri|6-8, Mon|8-10",0
12096000,Stanyan St,Parnassus Ave  -  Grattan St,38,31-40,"Tues, Wed","8 AM - 10 AM, 9 AM - 11 AM","Tues 8 AM - 10 AM, Wed 9 AM - 11 AM","East, West","L, R","Tues|8-10, Wed|8-10",0
12097000,Stanyan St,Grattan St  -  Alma St,38,31-40,"Tues, Wed","8 AM - 10 AM, 9 AM - 11 AM","Tues 8 AM - 10 AM, Wed 9 AM - 11 AM","East, West","L, R","Tues|8-10, Wed|8-10",0
12098000,Stanyan St,Alma St  -  Rivoli St,38,31-40,"Tues, Wed","8 AM - 10 AM, 9 AM - 11 AM","Tues 8 AM - 10 AM, Wed 9 AM - 11 AM","East, West","L, R","Tues|8-10, Wed|8-10",0
12099000,Stanyan St,Rivoli St  -  17th St,38,31-40,"Tues, Wed","8 AM - 10 AM, 9 AM - 11 AM","Tues 8 AM - 10 AM, Wed 9 AM - 11 AM","East, West","L, R","Tues|8-10, Wed|8-10",0
121000,02nd Ave,Cornwall St  -  Clement St,32,31-40,"Mon, Wed",7 AM - 9 AM,"Mon 7 AM - 9 AM, Wed 7 AM - 9 AM","East, West","L, R","Mon|6-8, Wed|6-8",0
1210000,22nd St,Worth St  -  Hoffman Ave,52,51-60,"Mon, Wed",12 PM - 2 PM,"Mon 12 PM - 2 PM, Wed 12 PM - 2 PM","North, South","L, R","Mon|12-14, Wed|12-14",0
